symbol,start_date,end_date,bars,pullback_final_equity,pullback_money_multiple,pullback_twr_total_return,pullback_cagr,pullback_max_drawdown,dca_final_equity,dca_money_multiple,dca_twr_total_return,dca_cagr,dca_max_drawdown,excess_twr_pullback_minus_dca,excess_money_multiple,excess_final_equity
ABUK,2001-05-15,2026-04-09,5805,37879882.23587532,12.258861565008194,39.291720804315545,0.17407487283460288,0.920212072507892,38873860.33551411,12.580537325409098,40.59333793419076,0.17569673481259396,0.9209524692758,-1.3016171298752113,-0.32167576040090395,-993978.0996387899
ADIB,2001-05-16,2026-04-09,5936,27108548.46600732,8.8014767746777,13.917224805392749,0.12159166747816252,0.8767823584775696,28253734.85500292,9.17329053733861,14.975518797529645,0.12486052895891575,0.8769840666700464,-1.0582939921368961,-0.37181376266090993,-1145186.3889956027
AMOC,2005-09-29,2026-04-09,4958,4982578.824316171,1.9387466242475373,0.3905046287356817,0.016900558598677895,0.9735912289950466,4970276.331468021,1.9339596620498134,0.4411311244425773,0.018750984514012137,0.9741724872055602,-0.05062649570689559,0.0047869621977238985,12302.492848150432
ARCC,2014-05-18,2026-04-09,2871,13165640.680072501,8.549117324722403,4.102677722210789,0.15384674525106168,0.8792443900708142,13277412.730116501,8.621696577997728,4.583908508622618,0.16301368705206198,0.8839176111216994,-0.48123078641182904,-0.07257925327532533,-111772.05004400015
BFTH,2008-09-10,2026-04-09,3304,7012484.339292791,3.6146826491199953,8.477699635311554,0.18718074912823135,0.9689175300786586,7506069.696540681,3.869108091000351,12.638840852731501,0.2206102906367855,0.9842878702688915,-4.161141217419948,-0.25442544188035576,-493585.35724789
CCAP,2009-12-06,2026-04-09,3930,3750457.36304017,1.8206103704078496,-0.49585471932362246,-0.04297698563349095,0.932987628488909,3700366.9506422,1.7962946362340777,-0.7265812144300439,-0.07980675893852018,0.9559961944476607,0.2307264951064214,0.024315734173771864,50090.41239796998
COMI,2001-05-15,2026-04-09,6039,153690993.00222677,49.73818543761384,215.7828948234269,0.2516865296400481,0.9054484926074906,154379747.58109632,49.9610833595781,206.6479903921207,0.24943950934921455,0.906238979500857,9.134904431306182,-0.22289792196425395,-688754.5788695514
EAST,2001-05-15,2026-04-09,5592,81170323.53351432,26.268713117642175,111.47771925735258,0.2372189616931868,0.988131690390066,82821012.08037107,26.802916530864422,103.54660774487616,0.2331480543074309,0.9881530788657313,7.93111151247642,-0.5342034132222473,-1650688.546856746
EFID,2015-04-02,2026-04-09,2459,2785595.61046777,1.94796895836907,0.9498485520599307,0.07085724494154144,0.7037339723206748,2873005.7451096103,2.0090949266500773,1.543269110544124,0.10042838296945433,0.7075150638874507,-0.5934205584841934,-0.06112596828100725,-87410.13464184012
EFIH,2021-10-20,2026-04-09,1076,896380.86665602,1.3790474871631078,0.48132700319007937,0.09648767697463145,0.5341600013159409,918281.14906397,1.4127402293291846,0.2216822437426209,0.048056351811668785,0.560639441891962,0.25964475944745846,-0.03369274216607687,-21900.28240794991
EGAL,2001-06-10,2026-04-09,5411,221490971.88107738,72.3826705493717,466.0856681244592,0.331501243717482,0.924764120152142,211888660.18102032,69.24466018987592,192.66280375914465,0.2780020272686523,0.9268036879369667,273.4228643653145,3.13801035949578,9602311.70005706
EGCH,2001-05-31,2026-04-09,5354,21767312.95456874,7.044437849374996,19.488491911040786,0.15276604716722186,0.8941328616694378,36257764.37989187,11.733904330062094,45.90872062248771,0.19860645448457848,0.8942484787446439,-26.42022871144692,-4.689466480687098,-14490451.425323132
EMFD,2015-07-05,2026-04-09,2607,4055859.6157229,2.897042582659214,2.4792297064277693,0.12813578243459656,0.5643492290942844,3934987.9319203696,2.810705665657407,1.3285649901632044,0.08516909445135856,0.5687542650259101,1.150664716264565,0.08633691700180712,120871.68380253017
ETEL,2005-12-08,2026-04-09,4909,15667608.282179331,6.168349717393437,4.033334344777224,0.0865171976671264,0.7526744106245526,16533038.210751742,6.509070161713284,8.341661609911615,0.12156946729234908,0.7609897437141707,-4.308327265134391,-0.3407204443198468,-865429.9285724107
FWRY,2019-08-08,2026-04-09,1610,3702720.45022118,4.068923571671626,7.408078493382844,0.39580611976007285,0.7671121363546579,3918701.22960793,4.306265087481242,8.597787448727127,0.4250387619212517,0.7777355786746616,-1.1897089553442832,-0.23734151580961527,-215980.77938674996
GBCO,2007-07-05,2026-04-09,4398,9034598.60683939,3.8445100454635703,-0.42233766605758205,-0.03096132582420874,0.9805155375446096,9150703.118301969,3.893916220554029,-0.2913360509196907,-0.019543192727629277,0.9788177742724185,-0.13100161513789133,-0.04940617509045886,-116104.51146257855
HELI,2001-05-15,2026-04-09,5569,14315840.00881147,4.632957931654198,17.440882905864417,0.1410049651972589,0.9852164679214573,14221639.48843729,4.60247232635511,20.274343103241073,0.14840992778531614,0.9861960887769637,-2.833460197376656,0.030485605299087837,94200.52037418075
HRHO,2001-05-15,2026-04-09,5955,22317688.61537807,7.246002797200672,23.15518245032338,0.14428763073127016,0.9046493225621126,22305619.65078524,7.242084302203001,22.13644233174999,0.1422026247284467,0.9053899124149112,1.0187401185733904,0.003918494997671829,12068.964592829347
ISPH,2017-12-12,2026-04-09,2012,2953024.9163774396,2.660382807547243,0.8132409660818289,0.07742553932425889,0.8405413537230345,3002894.21994987,2.705310108062946,1.3577734017236258,0.11347001986972205,0.8710971545850129,-0.5445324356417969,-0.04492730051570293,-49869.303572430275
JUFO,2010-06-09,2026-04-09,3746,7320591.9452221,3.66029597261105,5.378121956916549,0.13278516850413724,0.7087835671090432,10606179.99670468,5.30308999835234,34.305676168628715,0.2710248004993976,0.7106336993320652,-28.927554211712167,-1.6427940257412903,-3285588.0514825806
MCQE,2001-05-15,2026-04-09,5907,116393441.59551807,37.66778045162397,174.62162435805405,0.24673087486596845,0.9667648894210534,287554576.46042204,93.05973348233724,547.6715163551697,0.3088270950828429,0.9671131746355747,-373.04989199711565,-55.39195303071327,-171161134.864904
OIH,2001-05-15,2026-04-09,5948,3931911.19580926,1.2765945440939155,-0.5982396631877136,-0.03790406688053605,0.9888323040646573,3749299.60031005,1.2173050650357304,-0.6893829441207434,-0.048336529571144204,0.9906903227792355,0.09114328093302981,0.059289479058185046,182611.59549921006
ORAS,2015-03-11,2026-04-09,2676,7747071.95045464,5.379911076704611,4.3333034632257394,0.17081189934218877,0.694705814006778,7778506.357161241,5.401740525806417,4.1942120777520095,0.16790082683171303,0.699814644741954,0.1390913854737299,-0.021829449101805842,-31434.40670660045
ORHD,2001-05-16,2026-04-09,4488,59014355.624664366,23.605742249865745,62.37569430687282,0.26240884440271617,0.9899366940881037,56284493.314305216,22.513797325722088,52.943243909401964,0.2510350460607349,0.990026256898046,9.43245039747086,1.0919449241436574,2729862.31035915
ORWE,2001-05-15,2026-04-09,5881,6344332.59066318,2.0531820681757864,3.4510261910233053,0.06608332213441859,0.9467359532699464,6629869.61579423,2.1455888724253174,3.5810367215247636,0.06739955853149837,0.9488390400669293,-0.13001053050145828,-0.09240680424953096,-285537.0251310505
PHDC,2008-03-16,2026-04-09,4326,7376612.89203856,3.2639880053267962,0.057822989624137566,0.0032806712186608245,0.8916128348363561,7416517.44541891,3.2816448873535,0.11445840309267852,0.0063341671701977464,0.9137317328751441,-0.05663541346854095,-0.01765688202670379,-39904.55338035058
RAYA,2005-05-17,2026-04-09,4991,79903305.19248939,30.614293177199,21.127334887920682,0.16928470163752118,0.9963783699096048,80463227.82081372,30.828822919851998,20.218791197224427,0.16681155592327412,0.9970529913759133,0.9085436906962556,-0.2145297426529993,-559922.6283243299
RMDA,2019-12-11,2026-04-09,1526,1901760.53177184,2.1859316457147586,0.8952937158430307,0.11143714559408813,0.5265470028510122,1890506.3278242599,2.1729957791083447,0.9598379171068685,0.11760460635460257,0.5521231329139079,-0.06454420126383775,0.012935866606413882,11254.203947580187
TMGH,2007-11-28,2026-04-09,4431,25121727.40088103,10.875206667048065,6.445699315849087,0.1209809591119837,0.732155152179649,25657217.501324218,11.107020563343816,5.10355192407907,0.1083776789021842,0.8339676494489704,1.342147391770017,-0.23181389629575122,-535490.1004431881
VLMR,2001-05-16,2026-04-09,6013,2361779.4007342104,0.7643299031502299,1.4125677378223256,0.03760504697620415,0.9015880229173011,2374434.92128443,0.7684255408687476,-0.2801583109401654,-0.013684355099526702,0.9021468500356278,1.6927260487624909,-0.004095637718517731,-12655.520550219808
VLMRA,2021-09-19,2026-04-09,1098,699982.54146897,1.0605796082863181,0.14889217134562682,0.03239810301927126,0.5696603152065877,723137.9463028501,1.0956635550043183,0.34668871075364227,0.07076688365329287,0.5854491275033695,-0.19779653940801545,-0.03508394671800019,-23155.404833880137
